04/22/23	20:38:18	169.243	-44.723	1189	0.000000	0.000000
04/22/23	20:38:48	169.243	-44.723	1189	0.000000	0.000000
04/22/23	20:42:13	169.243	-44.723	1187	0.000000	0.000000
04/22/23	20:46:12	169.243	-44.723	1187	0.000000	0.000000
04/22/23	20:47:33	169.243	-44.723	1181	0.000000	0.000000
04/22/23	20:48:14	169.243	-44.723	1184	0.000000	0.000000
04/22/23	20:49:32	169.243	-44.723	1186	0.000000	0.000000
04/22/23	20:51:37	169.243	-44.723	1186	0.000000	0.000000
04/22/23	20:53:33	169.243	-44.723	1191	0.000000	0.000000
04/22/23	20:54:12	169.243	-44.723	1192	0.000000	0.000000
04/22/23	20:56:47	169.243	-44.723	1192	0.000000	0.000000
04/22/23	20:57:27	169.243	-44.723	1194	0.000000	0.000000
04/22/23	20:58:48	169.243	-44.723	1194	0.000000	0.000000
04/22/23	21:00:09	169.243	-44.723	1194	0.000000	0.000000
04/22/23	21:02:53	169.243	-44.723	1193	0.000000	0.000000
04/22/23	21:03:31	169.243	-44.723	1192	0.000000	0.000000
04/22/23	21:06:50	169.243	-44.723	1191	0.000000	0.000000
04/22/23	21:07:38	169.243	-44.723	1189	0.000000	0.000000
04/22/23	21:08:57	169.243	-44.723	1188	0.000000	0.000000
04/22/23	21:11:34	169.243	-44.723	1190	0.000000	0.000000
04/22/23	21:12:58	169.243	-44.723	1194	0.000000	0.000000
04/22/23	21:15:44	169.243	-44.723	1197	0.000000	0.000000
04/22/23	21:17:01	169.243	-44.723	1197	0.000000	0.000000
04/22/23	21:17:40	169.243	-44.723	1198	0.000000	0.000000
04/22/23	21:18:58	169.243	-44.723	1196	0.000000	0.000000
04/22/23	21:19:37	169.243	-44.723	1194	0.000000	0.000000
04/22/23	21:22:58	169.243	-44.723	1191	0.000000	0.000000
04/22/23	21:24:18	169.243	-44.723	1190	0.000000	0.000000
04/22/23	21:26:19	169.243	-44.723	1191	0.000000	0.000000
04/22/23	21:31:01	169.243	-44.723	1183	0.000000	0.000000
04/22/23	21:33:04	169.243	-44.723	1182	0.000000	0.000000
04/22/23	21:34:25	169.243	-44.723	1182	0.000000	0.000000
04/22/23	21:38:29	169.243	-44.723	1185	0.000000	0.000000
04/22/23	21:42:33	169.243	-44.723	1181	0.000000	0.000000
04/22/23	21:43:16	169.243	-44.723	1181	0.000000	0.000000
04/22/23	21:45:12	169.243	-44.723	1182	0.000000	0.000000
04/22/23	21:46:29	169.243	-44.723	1182	0.000000	0.000000
04/22/23	21:47:48	169.243	-44.723	1182	0.000000	0.000000
04/22/23	21:48:30	169.243	-44.723	1182	0.000000	0.000000
04/22/23	21:50:36	169.243	-44.723	1183	0.000000	0.000000
04/22/23	21:51:19	169.243	-44.723	1182	0.000000	0.000000
04/22/23	21:52:35	169.243	-44.723	1184	0.000000	0.000000
04/22/23	21:53:53	169.243	-44.723	1187	0.000000	0.000000
04/22/23	21:55:50	169.243	-44.723	1186	0.000000	0.000000
04/22/23	22:01:56	169.243	-44.723	1183	0.000000	0.000000
04/22/23	22:05:56	169.243	-44.723	1187	0.000000	0.000000
04/22/23	22:07:54	169.243	-44.723	1187	0.000000	0.000000
04/22/23	22:08:33	169.243	-44.723	1187	0.000000	0.000000
04/22/23	22:09:55	169.243	-44.723	1187	0.000000	0.000000
04/22/23	22:10:37	169.243	-44.723	1189	0.000000	0.000000
04/22/23	22:11:56	169.243	-44.723	1190	0.000000	0.000000
04/22/23	22:12:35	169.243	-44.722	1190	0.000000	0.000000
04/22/23	22:14:00	169.243	-44.722	1195	0.000000	0.000000
04/22/23	22:15:55	169.243	-44.722	1195	0.000000	0.000000
04/22/23	22:17:55	169.243	-44.723	1190	0.000000	0.000000
04/22/23	22:18:36	169.243	-44.723	1190	0.000000	0.000000
04/22/23	22:19:55	169.243	-44.723	1189	0.000000	0.000000
04/22/23	22:21:14	169.243	-44.723	1189	0.000000	0.000000
04/22/23	22:22:39	169.243	-44.723	1189	0.000000	0.000000
04/22/23	22:25:16	169.243	-44.723	1191	0.000000	0.000000
04/22/23	22:27:20	169.243	-44.723	1190	0.000000	0.000000
04/22/23	22:31:22	169.243	-44.723	1189	0.000000	0.000000
04/22/23	22:33:27	169.243	-44.723	1189	0.000000	0.000000
04/22/23	22:34:05	169.243	-44.723	1189	0.000000	0.000000
04/22/23	22:35:24	169.243	-44.723	1190	0.000000	0.000000
04/22/23	22:38:09	169.243	-44.723	1185	0.000000	0.000000
04/22/23	22:39:33	169.243	-44.723	1189	0.000000	0.000000
04/22/23	22:40:11	169.243	-44.723	1187	0.000000	0.000000
04/22/23	22:42:08	169.243	-44.723	1189	0.000000	0.000000
04/22/23	22:43:32	169.243	-44.723	1187	0.000000	0.000000
04/22/23	22:45:35	169.243	-44.723	1186	0.000000	0.000000
04/22/23	22:47:36	169.243	-44.723	1188	0.000000	0.000000
04/22/23	22:49:32	169.243	-44.723	1192	0.000000	0.000000
04/22/23	22:50:10	169.243	-44.723	1191	0.000000	0.000000
04/22/23	22:51:28	169.243	-44.723	1190	0.000000	0.000000
04/22/23	22:52:11	169.243	-44.723	1192	0.000000	0.000000
04/22/23	22:52:52	169.243	-44.723	1192	0.000000	0.000000
04/26/23	02:22:21	169.243	-44.723	1234	0.000000	0.000000
04/26/23	02:23:49	169.243	-44.723	1234	0.000000	0.000000
04/26/23	02:25:04	169.243	-44.723	1234	0.000000	0.000000
04/26/23	02:25:50	169.243	-44.723	1234	0.000000	0.000000
04/26/23	02:26:14	169.243	-44.723	1234	0.000000	0.000000
